;Recettes;;;Dépenses;;;;;;Cadeau;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G55)),ISBLANK(G56)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G55)),ISBLANK($G56)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G55)),ISBLANK($G56)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G55)),ISBLANK($G56)),$C$42-$H$40-$F$42,"""")";;;Bac Royan;44;x;"=IF(I56=""x"",H56,0)";Voiture/Déplacement;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G56)),ISBLANK(G57)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G56)),ISBLANK($G57)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G56)),ISBLANK($G57)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G56)),ISBLANK($G57)),$C$42-$H$40-$F$42,"""")";;;Grand Frais;15.78;x;"=IF(I57=""x"",H57,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G57)),ISBLANK(G58)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G57)),ISBLANK($G58)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G57)),ISBLANK($G58)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G57)),ISBLANK($G58)),$C$42-$H$40-$F$42,"""")";;;Dr Apel;30;x;"=IF(I58=""x"",H58,0)";Soins;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G58)),ISBLANK(G59)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G58)),ISBLANK($G59)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G58)),ISBLANK($G59)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G58)),ISBLANK($G59)),$C$42-$H$40-$F$42,"""")";;;Pharamacie;58.9;x;"=IF(I59=""x"",H59,0)";Soins;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G59)),ISBLANK(G60)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G59)),ISBLANK($G60)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G59)),ISBLANK($G60)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G59)),ISBLANK($G60)),$C$42-$H$40-$F$42,"""")";;;BAr du Bac Royan;70.5;x;"=IF(I60=""x"",H60,0)";Loisirs;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G60)),ISBLANK(G61)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G60)),ISBLANK($G61)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G60)),ISBLANK($G61)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G60)),ISBLANK($G61)),$C$42-$H$40-$F$42,"""")";;;Avia;2.7;x;"=IF(I61=""x"",H61,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G61)),ISBLANK(G62)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G61)),ISBLANK($G62)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G61)),ISBLANK($G62)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G61)),ISBLANK($G62)),$C$42-$H$40-$F$42,"""")";;;Avia;2.7;x;"=IF(I62=""x"",H62,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G62)),ISBLANK(G63)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G62)),ISBLANK($G63)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G62)),ISBLANK($G63)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G62)),ISBLANK($G63)),$C$42-$H$40-$F$42,"""")";;;Avia;1.9;x;"=IF(I63=""x"",H63,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G63)),ISBLANK(G64)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G63)),ISBLANK($G64)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G63)),ISBLANK($G64)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G63)),ISBLANK($G64)),$C$42-$H$40-$F$42,"""")";;;Avia;20.7;x;"=IF(I64=""x"",H64,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G64)),ISBLANK(G65)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G64)),ISBLANK($G65)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G64)),ISBLANK($G65)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G64)),ISBLANK($G65)),$C$42-$H$40-$F$42,"""")";;;Traversée Bac;55;x;"=IF(I65=""x"",H65,0)";Voiture/Déplacement;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G65)),ISBLANK(G66)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G65)),ISBLANK($G66)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G65)),ISBLANK($G66)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G65)),ISBLANK($G66)),$C$42-$H$40-$F$42,"""")";;;La Fabrique Ploufragan;9.8;x;"=IF(I66=""x"",H66,0)";Courses;;;;;;;;;;;;;;;;;;
