;Recettes;;;Dépenses;;;;;;Cadeau;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G64)),ISBLANK(G65)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G64)),ISBLANK($G65)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G64)),ISBLANK($G65)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G64)),ISBLANK($G65)),$C$42-$H$40-$F$42,"""")";;;Amazon;10.99;x;"=IF(I65=""x"",H65,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G65)),ISBLANK(G66)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G65)),ISBLANK($G66)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G65)),ISBLANK($G66)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G65)),ISBLANK($G66)),$C$42-$H$40-$F$42,"""")";;;Amazon;19.89;x;"=IF(I66=""x"",H66,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G66)),ISBLANK(G67)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G66)),ISBLANK($G67)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G66)),ISBLANK($G67)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G66)),ISBLANK($G67)),$C$42-$H$40-$F$42,"""")";;;Optique;3;x;"=IF(I67=""x"",H67,0)";Medical;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G67)),ISBLANK(G68)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G67)),ISBLANK($G68)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G67)),ISBLANK($G68)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G67)),ISBLANK($G68)),$C$42-$H$40-$F$42,"""")";;;Leclerc;47.17;x;"=IF(I68=""x"",H68,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G68)),ISBLANK(G69)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G68)),ISBLANK($G69)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G68)),ISBLANK($G69)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G68)),ISBLANK($G69)),$C$42-$H$40-$F$42,"""")";;;Ptit Comod;8;x;"=IF(I69=""x"",H69,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G69)),ISBLANK(G70)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G69)),ISBLANK($G70)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G69)),ISBLANK($G70)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G69)),ISBLANK($G70)),$C$42-$H$40-$F$42,"""")";;;Leclerc;39.59;x;"=IF(I70=""x"",H70,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G70)),ISBLANK(G71)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G70)),ISBLANK($G71)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G70)),ISBLANK($G71)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G70)),ISBLANK($G71)),$C$42-$H$40-$F$42,"""")";;;Amazon;16.98;x;"=IF(I71=""x"",H71,0)";Bricolage/Travaux;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G71)),ISBLANK(G72)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G71)),ISBLANK($G72)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G71)),ISBLANK($G72)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G71)),ISBLANK($G72)),$C$42-$H$40-$F$42,"""")";;;Amazon;14.99;x;"=IF(I72=""x"",H72,0)";Bricolage/Travaux;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G72)),ISBLANK(G73)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G72)),ISBLANK($G73)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G72)),ISBLANK($G73)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G72)),ISBLANK($G73)),$C$42-$H$40-$F$42,"""")";;;Cube gaz;26.97;x;"=IF(I73=""x"",H73,0)";Charges;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G73)),ISBLANK(G74)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G73)),ISBLANK($G74)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G73)),ISBLANK($G74)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G73)),ISBLANK($G74)),$C$42-$H$40-$F$42,"""")";;;Baramoules;159.1;x;"=IF(I74=""x"",H74,0)";Loisirs;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G74)),ISBLANK(G75)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G74)),ISBLANK($G75)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G74)),ISBLANK($G75)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G74)),ISBLANK($G75)),$C$42-$H$40-$F$42,"""")";;;Pharmacie;13.3;x;"=IF(I75=""x"",H75,0)";Medical;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G75)),ISBLANK(G76)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G75)),ISBLANK($G76)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G75)),ISBLANK($G76)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G75)),ISBLANK($G76)),$C$42-$H$40-$F$42,"""")";;;Pizza Enfants;44.25;x;"=IF(I76=""x"",H76,0)";Loisirs;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G76)),ISBLANK(G77)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G76)),ISBLANK($G77)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G76)),ISBLANK($G77)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G76)),ISBLANK($G77)),$C$42-$H$40-$F$42,"""")";;;La Voile;34;x;"=IF(I77=""x"",H77,0)";Loisirs;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G77)),ISBLANK(G78)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G77)),ISBLANK($G78)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G77)),ISBLANK($G78)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G77)),ISBLANK($G78)),$C$42-$H$40-$F$42,"""")";;;Leclerc;6.51;x;"=IF(I78=""x"",H78,0)";Courses;;;;;;;;;;;;;;;;;;
;;;;;;Pharmacie;15.4;x;"=IF(I79=""x"",H79,0)";Medical;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G78)),ISBLANK(G80)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G78)),ISBLANK($G80)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G78)),ISBLANK($G80)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G78)),ISBLANK($G80)),$C$42-$H$40-$F$42,"""")";;;Boulangerie;6.5;x;"=IF(I80=""x"",H80,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G80)),ISBLANK(G81)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G80)),ISBLANK($G81)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G80)),ISBLANK($G81)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G80)),ISBLANK($G81)),$C$42-$H$40-$F$42,"""")";;;Biscuiterie;54.3;x;"=IF(I81=""x"",H81,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G81)),ISBLANK(G82)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G81)),ISBLANK($G82)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G81)),ISBLANK($G82)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G81)),ISBLANK($G82)),$C$42-$H$40-$F$42,"""")";;;Leclerc;11.78;x;"=IF(I82=""x"",H82,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G82)),ISBLANK(G83)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G82)),ISBLANK($G83)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G82)),ISBLANK($G83)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G82)),ISBLANK($G83)),$C$42-$H$40-$F$42,"""")";;;Cigarettes;13;x;"=IF(I83=""x"",H83,0)";Divers;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G83)),ISBLANK(G84)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G83)),ISBLANK($G84)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G83)),ISBLANK($G84)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G83)),ISBLANK($G84)),$C$42-$H$40-$F$42,"""")";;;Arthur Rennes;50;x;"=IF(I84=""x"",H84,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G84)),ISBLANK(G85)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G84)),ISBLANK($G85)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G84)),ISBLANK($G85)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G84)),ISBLANK($G85)),$C$42-$H$40-$F$42,"""")";;;Leclerc;33.49;x;"=IF(I85=""x"",H85,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G85)),ISBLANK(G86)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G85)),ISBLANK($G86)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G85)),ISBLANK($G86)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G85)),ISBLANK($G86)),$C$42-$H$40-$F$42,"""")";;;Leclerc;43.24;x;"=IF(I86=""x"",H86,0)";Courses;;;;;;;;;;;;;;;;;;
;;;;;;Train Arthur;19.6;x;"=IF(I87=""x"",H87,0)";Voiture/Déplacement;;;;;;;;;;;;;;;;;;
;;;;;;Leclerc;180.89;x;"=IF(I88=""x"",H88,0)";Courses;;;;;;;;;;;;;;;;;;
